fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
6 jun 2025,6333,6480,6282,6477,6477,280964
5 jun 2025,6276,6398,6250,6337,6337,232423
4 jun 2025,6336,6396,6217,6285,6285,321128
3 jun 2025,6302,6389,6240,6341,6341,291260
2 jun 2025,6111,6388,6106,6252,6252,403580
30 may 2025,6094,6172,5974,6079,6079,384927
29 may 2025,6183,6307,6055,6094,6094,299859
28 may 2025,6104,6254,6085,6184,6184,260374
27 may 2025,6170,6214,6026,6089,6089,291317
23 may 2025,6081,6188,6002,6153,6153,273392
22 may 2025,6133,6175,6025,6120,6120,258549
21 may 2025,6227,6419,6128,6157,6157,302702
20 may 2025,6268,6317,6219,6256,6256,250414
19 may 2025,6275,6340,6157,6269,6269,95570
16 may 2025,6170,6271,6125,6249,6249,121556
15 may 2025,6288,6291,6047,6162,6162,258404
14 may 2025,6362,6368,6275,6315,6315,225626
13 may 2025,6200,6390,6165,6367,6367,258795
12 may 2025,6139,6361,6102,6195,6195,325865
9 may 2025,6025,6145,5989,6102,6102,239640
8 may 2025,5793,6029,5774,5991,5991,281000
7 may 2025,5898,6026,5781,5807,5807,295238
6 may 2025,5725,5984,5703,5909,5909,343893
5 may 2025,5676,5770,5530,5713,5713,308387
2 may 2025,5899,5987,5774,5829,5829,322096
1 may 2025,5816,5950,5639,5924,5924,364216
30 abr 2025,6016,6043,5791,5821,5821,419549
29 abr 2025,6187,6207,6012,6042,6042,312373
28 abr 2025,6349,6392,6148,6205,6205,276116
25 abr 2025,6286,6341,6180,6302,6302,283758
24 abr 2025,6234,6331,6199,6279,6279,264908
23 abr 2025,6400,6487,6153,6227,6227,397841
22 abr 2025,6343,6509,6343,6431,6431,297928
21 abr 2025,6430,6442,6245,6308,6308,82671
17 abr 2025,6263,6486,6261,6468,6468,111479
16 abr 2025,6154,6298,6044,6247,6247,213194
15 abr 2025,6158,6206,6088,6133,6133,197404
14 abr 2025,6170,6268,6059,6153,6153,238068
11 abr 2025,6020,6187,5943,6150,6150,306231
10 abr 2025,6271,6334,5876,6007,6007,391826
9 abr 2025,5832,6293,5512,6235,6235,592250
8 abr 2025,6103,6175,5788,5958,5958,557655
7 abr 2025,6112,6390,5895,6070,6070,597617
4 abr 2025,6664,6690,6045,6199,6199,559638
3 abr 2025,7038,7041,6598,6695,6695,459238
2 abr 2025,7120,7228,7059,7171,7171,286501
1 abr 2025,7139,7210,7103,7120,7120,272832
31 mar 2025,6943,7183,6881,7148,7148,313087
28 mar 2025,6991,7009,6887,6936,6936,246650
27 mar 2025,6996,6997,6912,6992,6992,211825
26 mar 2025,6916,7022,6906,6965,6965,262413
25 mar 2025,6916,6968,6852,6900,6900,258411
24 mar 2025,6835,6933,6795,6911,6911,247024
21 mar 2025,6835,6865,6765,6828,6828,198964
20 mar 2025,6729,6847,6688,6826,6826,283376
19 mar 2025,6672,6763,6621,6716,6716,73077
18 mar 2025,6740,6872,6656,6690,6690,110338
17 mar 2025,6735,6837,6725,6758,6758,161298
14 mar 2025,6678,6748,6659,6718,6718,180495
13 mar 2025,6769,6794,6637,6655,6655,268590
12 mar 2025,6662,6788,6615,6768,6768,246675
11 mar 2025,6595,6717,6529,6625,6625,222511
10 mar 2025,6711,6760,6580,6603,6603,249633
7 mar 2025,6634,6822,6612,6704,6704,329710
6 mar 2025,6639,6709,6559,6636,6636,341632
5 mar 2025,6808,6810,6522,6631,6631,382493
4 mar 2025,6846,6856,6677,6826,6826,386750
3 mar 2025,6995,7060,6789,6837,6837,332751
28 feb 2025,7017,7029,6914,6976,6976,250074
27 feb 2025,6882,7054,6861,7035,7035,265933
